GEO_ID,NAME,B19013_001E,B19013_001M
id,Geographic Area Name,Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars),Margin of Error!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)
0500000US30019,"Daniels County, Montana",54750,2497
0500000US72073,"Jayuya Municipio, Puerto Rico",15424,2978
0500000US39173,"Wood County, Ohio",59789,1513
0500000US24023,"Garrett County, Maryland",49619,1948
0500000US30079,"Prairie County, Montana",47250,6386
0500000US08011,"Bent County, Colorado",34392,6115
0500000US13081,"Crisp County, Georgia",35096,3062
0500000US04027,"Yuma County, Arizona",44058,1027
0500000US22019,"Calcasieu Parish, Louisiana",49452,1371
0500000US37011,"Avery County, North Carolina",38134,3206
0500000US49015,"Emery County, Utah",52055,3028
0500000US54011,"Cabell County, West Virginia",38321,1341
0500000US20157,"Republic County, Kansas",48022,3895
0500000US05081,"Little River County, Arkansas",45388,4435
0500000US26049,"Genesee County, Michigan",47006,731
0500000US72077,"Juncos Municipio, Puerto Rico",18969,1633
0500000US18153,"Sullivan County, Indiana",46517,3212
0500000US31139,"Pierce County, Nebraska",56620,3576
0500000US20119,"Meade County, Kansas",55568,3521
0500000US27025,"Chisago County, Minnesota",80409,2335
0500000US06047,"Merced County, California",50129,1671
0500000US51036,"Charles City County, Virginia",59192,4207
0500000US48219,"Hockley County, Texas",48116,2342
0500000US50011,"Franklin County, Vermont",64258,1568
0500000US21029,"Bullitt County, Kentucky",60534,2127
0500000US21171,"Monroe County, Kentucky",34167,4035
0500000US13057,"Cherokee County, Georgia",79670,1911
0500000US28023,"Clarke County, Mississippi",39246,2859
0500000US27075,"Lake County, Minnesota",59516,5237
0500000US51185,"Tazewell County, Virginia",40978,1974
0500000US42053,"Forest County, Pennsylvania",38383,2240
0500000US47149,"Rutherford County, Tennessee",63846,1154
0500000US48293,"Limestone County, Texas",42680,4009
0500000US05147,"Woodruff County, Arkansas",31023,3645
0500000US48129,"Donley County, Texas",43224,4015
0500000US16017,"Bonner County, Idaho",48710,2285
0500000US28037,"Franklin County, Mississippi",40810,6584
0500000US29131,"Miller County, Missouri",42718,2196
0500000US06109,"Tuolumne County, California",56493,3992
0500000US31077,"Greeley County, Nebraska",47128,2806
0500000US05105,"Perry County, Arkansas",46071,6434
0500000US19019,"Buchanan County, Iowa",61409,4096
0500000US29049,"Clinton County, Missouri",58510,3346
0500000US48321,"Matagorda County, Texas",45500,3150
0500000US22095,"St. John the Baptist Parish, Louisiana",54821,4413
0500000US06043,"Mariposa County, California",51199,3487
0500000US29139,"Montgomery County, Missouri",45862,3414
0500000US28103,"Noxubee County, Mississippi",36000,4776
0500000US53051,"Pend Oreille County, Washington",48583,2974
0500000US36071,"Orange County, New York",76716,1429
0500000US42013,"Blair County, Pennsylvania",47969,1449
0500000US13103,"Effingham County, Georgia",65153,3058
0500000US72089,"Luquillo Municipio, Puerto Rico",20829,2080
0500000US51121,"Montgomery County, Virginia",54641,1795
0500000US17089,"Kane County, Illinois",76912,1214
0500000US21159,"Martin County, Kentucky",35125,4866
0500000US26003,"Alger County, Michigan",46007,4136
0500000US37171,"Surry County, North Carolina",41068,1401
0500000US53025,"Grant County, Washington",54982,1906
0500000US24027,"Howard County, Maryland",117730,2023
0500000US13061,"Clay County, Georgia",25000,4298
0500000US51075,"Goochland County, Virginia",89741,7343
0500000US21163,"Meade County, Kentucky",57963,3960
0500000US18015,"Carroll County, Indiana",56429,3058
0500000US42047,"Elk County, Pennsylvania",51112,2209
0500000US39141,"Ross County, Ohio",48403,1554
0500000US21149,"McLean County, Kentucky",50445,2302
0500000US13141,"Hancock County, Georgia",31984,3016
0500000US72047,"Corozal Municipio, Puerto Rico",15088,1444
0500000US31145,"Red Willow County, Nebraska",46859,4731
0500000US48501,"Yoakum County, Texas",68814,3598
0500000US51167,"Russell County, Virginia",39482,2596
0500000US54099,"Wayne County, West Virginia",36875,3738
0500000US51157,"Rappahannock County, Virginia",68438,7363
0500000US27159,"Wadena County, Minnesota",45860,2968
0500000US48329,"Midland County, Texas",78888,3668
0500000US45061,"Lee County, South Carolina",31651,2928
0500000US37005,"Alleghany County, North Carolina",37558,3137
0500000US48025,"Bee County, Texas",42032,4701
0500000US47051,"Franklin County, Tennessee",49038,2309
0500000US38089,"Stark County, North Dakota",75708,4591
0500000US27097,"Morrison County, Minnesota",54962,1736
0500000US48125,"Dickens County, Texas",41618,3947
0500000US35045,"San Juan County, New Mexico",50582,1564
0500000US48481,"Wharton County, Texas",49619,2779
0500000US20159,"Rice County, Kansas",50764,5615
0500000US47139,"Polk County, Tennessee",41818,2889
0500000US21167,"Mercer County, Kentucky",50475,3367
0500000US27007,"Beltrami County, Minnesota",47410,2260
0500000US20161,"Riley County, Kansas",49910,2479
0500000US51800,"Suffolk city, Virginia",70664,2173
0500000US53015,"Cowlitz County, Washington",51752,1326
0500000US48383,"Reagan County, Texas",70478,14527
0500000US17125,"Mason County, Illinois",45596,2976
0500000US12107,"Putnam County, Florida",35649,1475
0500000US17005,"Bond County, Illinois",58097,5803
0500000US48269,"King County, Texas",65125,26021
0500000US17025,"Clay County, Illinois",48691,3604
0500000US19125,"Marion County, Iowa",58492,2948
0500000US56021,"Laramie County, Wyoming",64220,1924
0500000US09009,"New Haven County, Connecticut",67128,912
