TBLID,GEOID,GEONAME,ORDER,TITLE,ESTIMATE,MG_ERROR
B06011,,,,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS) BY PLACE OF BIRTH IN THE UNITED STATES,,
B06011,,,,Universe:  Population 15 years and over in the United States with income,,
B06011,05000US01003,"Baldwin County, Alabama",0.5,Median income in the past 12 months --,,
B06011,05000US01003,"Baldwin County, Alabama",1,Total:,"27,772","+/-2,005"
B06011,05000US01003,"Baldwin County, Alabama",2,Born in state of residence,"25,958","+/-1,836"
B06011,05000US01003,"Baldwin County, Alabama",3,Born in other state of the United States,"30,198","+/-2,059"
B06011,05000US01003,"Baldwin County, Alabama",4,Native; born outside the United States,"41,372","+/-16,351"
B06011,05000US01003,"Baldwin County, Alabama",5,Foreign born,"24,111","+/-4,717"
B06011,05000US01015,"Calhoun County, Alabama",0.5,Median income in the past 12 months --,,
B06011,05000US01015,"Calhoun County, Alabama",1,Total:,"22,154","+/-1,293"
B06011,05000US01015,"Calhoun County, Alabama",2,Born in state of residence,"21,715","+/-1,277"
B06011,05000US01015,"Calhoun County, Alabama",3,Born in other state of the United States,"25,250","+/-6,897"
B06011,05000US01015,"Calhoun County, Alabama",4,Native; born outside the United States,"18,044","+/-27,831"
B06011,05000US01015,"Calhoun County, Alabama",5,Foreign born,"20,576","+/-9,637"
B06011,05000US01043,"Cullman County, Alabama",0.5,Median income in the past 12 months --,,
B06011,05000US01043,"Cullman County, Alabama",1,Total:,"23,615","+/-2,117"
B06011,05000US01043,"Cullman County, Alabama",2,Born in state of residence,"23,234","+/-2,618"
B06011,05000US01043,"Cullman County, Alabama",3,Born in other state of the United States,"25,063","+/-6,684"
B06011,05000US01043,"Cullman County, Alabama",4,Native; born outside the United States,"16,548","+/-8,850"
B06011,05000US01043,"Cullman County, Alabama",5,Foreign born,"20,240","+/-3,302"
B06011,05000US01049,"DeKalb County, Alabama",0.5,Median income in the past 12 months --,,
B06011,05000US01049,"DeKalb County, Alabama",1,Total:,"22,130","+/-1,450"
B06011,05000US01049,"DeKalb County, Alabama",2,Born in state of residence,"22,636","+/-2,386"
B06011,05000US01049,"DeKalb County, Alabama",3,Born in other state of the United States,"24,703","+/-4,207"
B06011,05000US01049,"DeKalb County, Alabama",4,Native; born outside the United States,-,**
B06011,05000US01049,"DeKalb County, Alabama",5,Foreign born,"12,351","+/-6,174"
B06011,05000US01051,"Elmore County, Alabama",0.5,Median income in the past 12 months --,,
B06011,05000US01051,"Elmore County, Alabama",1,Total:,"27,093","+/-3,261"
B06011,05000US01051,"Elmore County, Alabama",2,Born in state of residence,"24,288","+/-2,918"
B06011,05000US01051,"Elmore County, Alabama",3,Born in other state of the United States,"36,490","+/-6,706"
B06011,05000US01051,"Elmore County, Alabama",4,Native; born outside the United States,"65,774","+/-35,078"
B06011,05000US01051,"Elmore County, Alabama",5,Foreign born,"13,992","+/-10,957"
B06011,05000US01055,"Etowah County, Alabama",0.5,Median income in the past 12 months --,,
B06011,05000US01055,"Etowah County, Alabama",1,Total:,"25,055","+/-1,844"
B06011,05000US01055,"Etowah County, Alabama",2,Born in state of residence,"24,440","+/-1,781"
B06011,05000US01055,"Etowah County, Alabama",3,Born in other state of the United States,"27,053","+/-2,975"
B06011,05000US01055,"Etowah County, Alabama",4,Native; born outside the United States,"32,533","+/-19,385"
B06011,05000US01055,"Etowah County, Alabama",5,Foreign born,"20,150","+/-11,931"
B06011,05000US01069,"Houston County, Alabama",0.5,Median income in the past 12 months --,,
B06011,05000US01069,"Houston County, Alabama",1,Total:,"24,821","+/-1,347"
B06011,05000US01069,"Houston County, Alabama",2,Born in state of residence,"22,992","+/-1,750"
B06011,05000US01069,"Houston County, Alabama",3,Born in other state of the United States,"27,357","+/-2,909"
B06011,05000US01069,"Houston County, Alabama",4,Native; born outside the United States,"26,042","+/-11,612"
B06011,05000US01069,"Houston County, Alabama",5,Foreign born,"35,130","+/-5,913"
B06011,05000US01073,"Jefferson County, Alabama",0.5,Median income in the past 12 months --,,
B06011,05000US01073,"Jefferson County, Alabama",1,Total:,"29,904","+/-1,120"
B06011,05000US01073,"Jefferson County, Alabama",2,Born in state of residence,"26,963","+/-1,183"
B06011,05000US01073,"Jefferson County, Alabama",3,Born in other state of the United States,"38,228","+/-3,505"
B06011,05000US01073,"Jefferson County, Alabama",4,Native; born outside the United States,"49,735","+/-7,056"
B06011,05000US01073,"Jefferson County, Alabama",5,Foreign born,"31,865","+/-4,253"
B06011,05000US01077,"Lauderdale County, Alabama",0.5,Median income in the past 12 months --,,
B06011,05000US01077,"Lauderdale County, Alabama",1,Total:,"26,988","+/-2,049"
B06011,05000US01077,"Lauderdale County, Alabama",2,Born in state of residence,"25,957","+/-2,616"
B06011,05000US01077,"Lauderdale County, Alabama",3,Born in other state of the United States,"30,991","+/-2,654"
B06011,05000US01077,"Lauderdale County, Alabama",4,Native; born outside the United States,"17,045","+/-30,248"
B06011,05000US01077,"Lauderdale County, Alabama",5,Foreign born,"25,082","+/-19,903"
B06011,05000US01081,"Lee County, Alabama",0.5,Median income in the past 12 months --,,
B06011,05000US01081,"Lee County, Alabama",1,Total:,"25,572","+/-1,760"
B06011,05000US01081,"Lee County, Alabama",2,Born in state of residence,"23,227","+/-2,415"
B06011,05000US01081,"Lee County, Alabama",3,Born in other state of the United States,"30,088","+/-3,345"
B06011,05000US01081,"Lee County, Alabama",4,Native; born outside the United States,"27,879","+/-14,621"
B06011,05000US01081,"Lee County, Alabama",5,Foreign born,"23,119","+/-9,897"
B06011,05000US01083,"Limestone County, Alabama",0.5,Median income in the past 12 months --,,
B06011,05000US01083,"Limestone County, Alabama",1,Total:,"27,374","+/-3,745"
B06011,05000US01083,"Limestone County, Alabama",2,Born in state of residence,"24,145","+/-2,931"
B06011,05000US01083,"Limestone County, Alabama",3,Born in other state of the United States,"34,261","+/-4,953"
B06011,05000US01083,"Limestone County, Alabama",4,Native; born outside the United States,"32,583","+/-45,291"
B06011,05000US01083,"Limestone County, Alabama",5,Foreign born,"26,055","+/-8,533"
B06011,05000US01089,"Madison County, Alabama",0.5,Median income in the past 12 months --,,
B06011,05000US01089,"Madison County, Alabama",1,Total:,"31,970","+/-1,263"
B06011,05000US01089,"Madison County, Alabama",2,Born in state of residence,"29,012","+/-3,445"
B06011,05000US01089,"Madison County, Alabama",3,Born in other state of the United States,"37,928","+/-2,668"
B06011,05000US01089,"Madison County, Alabama",4,Native; born outside the United States,"20,485","+/-8,129"
B06011,05000US01089,"Madison County, Alabama",5,Foreign born,"28,966","+/-10,999"
B06011,05000US01095,"Marshall County, Alabama",0.5,Median income in the past 12 months --,,
B06011,05000US01095,"Marshall County, Alabama",1,Total:,"24,012","+/-1,907"
B06011,05000US01095,"Marshall County, Alabama",2,Born in state of residence,"23,342","+/-2,187"
B06011,05000US01095,"Marshall County, Alabama",3,Born in other state of the United States,"25,400","+/-3,157"
B06011,05000US01095,"Marshall County, Alabama",4,Native; born outside the United States,"10,636","+/-4,921"
B06011,05000US01095,"Marshall County, Alabama",5,Foreign born,"25,805","+/-2,653"
B06011,05000US01097,"Mobile County, Alabama",0.5,Median income in the past 12 months --,,
B06011,05000US01097,"Mobile County, Alabama",1,Total:,"25,256",+/-904
B06011,05000US01097,"Mobile County, Alabama",2,Born in state of residence,"23,191","+/-1,656"
B06011,05000US01097,"Mobile County, Alabama",3,Born in other state of the United States,"30,490","+/-2,863"
B06011,05000US01097,"Mobile County, Alabama",4,Native; born outside the United States,"24,086","+/-11,019"
B06011,05000US01097,"Mobile County, Alabama",5,Foreign born,"27,872","+/-6,111"
B06011,05000US01101,"Montgomery County, Alabama",0.5,Median income in the past 12 months --,,
B06011,05000US01101,"Montgomery County, Alabama",1,Total:,"25,172","+/-1,868"
B06011,05000US01101,"Montgomery County, Alabama",2,Born in state of residence,"22,121","+/-1,685"
B06011,05000US01101,"Montgomery County, Alabama",3,Born in other state of the United States,"31,609","+/-4,727"
B06011,05000US01101,"Montgomery County, Alabama",4,Native; born outside the United States,"51,283","+/-33,406"
B06011,05000US01101,"Montgomery County, Alabama",5,Foreign born,"30,858","+/-9,594"
B06011,05000US01103,"Morgan County, Alabama",0.5,Median income in the past 12 months --,,
B06011,05000US01103,"Morgan County, Alabama",1,Total:,"27,866","+/-2,403"
B06011,05000US01103,"Morgan County, Alabama",2,Born in state of residence,"26,978","+/-2,406"
B06011,05000US01103,"Morgan County, Alabama",3,Born in other state of the United States,"28,478","+/-4,260"
B06011,05000US01103,"Morgan County, Alabama",4,Native; born outside the United States,"29,536","+/-44,821"
B06011,05000US01103,"Morgan County, Alabama",5,Foreign born,"29,826","+/-7,659"
B06011,05000US01115,"St. Clair County, Alabama",0.5,Median income in the past 12 months --,,
B06011,05000US01115,"St. Clair County, Alabama",1,Total:,"27,129","+/-2,318"
B06011,05000US01115,"St. Clair County, Alabama",2,Born in state of residence,"26,643","+/-2,442"
B06011,05000US01115,"St. Clair County, Alabama",3,Born in other state of the United States,"30,057","+/-5,604"
B06011,05000US01115,"St. Clair County, Alabama",4,Native; born outside the United States,-,**
B06011,05000US01115,"St. Clair County, Alabama",5,Foreign born,"27,332","+/-21,147"
B06011,05000US01117,"Shelby County, Alabama",0.5,Median income in the past 12 months --,,
B06011,05000US01117,"Shelby County, Alabama",1,Total:,"36,244","+/-1,324"
B06011,05000US01117,"Shelby County, Alabama",2,Born in state of residence,"36,257","+/-1,655"
B06011,05000US01117,"Shelby County, Alabama",3,Born in other state of the United States,"40,833","+/-2,571"
B06011,05000US01117,"Shelby County, Alabama",4,Native; born outside the United States,"19,058","+/-11,784"
B06011,05000US01117,"Shelby County, Alabama",5,Foreign born,"21,405","+/-5,578"
B06011,05000US01121,"Talladega County, Alabama",0.5,Median income in the past 12 months --,,
B06011,05000US01121,"Talladega County, Alabama",1,Total:,"21,226","+/-1,357"
B06011,05000US01121,"Talladega County, Alabama",2,Born in state of residence,"20,887","+/-1,628"
B06011,05000US01121,"Talladega County, Alabama",3,Born in other state of the United States,"21,933","+/-2,802"
B06011,05000US01121,"Talladega County, Alabama",4,Native; born outside the United States,"30,734","+/-33,416"
B06011,05000US01121,"Talladega County, Alabama",5,Foreign born,"40,137","+/-15,708"
B06011,05000US01125,"Tuscaloosa County, Alabama",0.5,Median income in the past 12 months --,,
B06011,05000US01125,"Tuscaloosa County, Alabama",1,Total:,"25,536","+/-1,625"
B06011,05000US01125,"Tuscaloosa County, Alabama",2,Born in state of residence,"26,597","+/-2,210"
B06011,05000US01125,"Tuscaloosa County, Alabama",3,Born in other state of the United States,"24,564","+/-3,201"
B06011,05000US01125,"Tuscaloosa County, Alabama",4,Native; born outside the United States,"41,420","+/-46,094"
B06011,05000US01125,"Tuscaloosa County, Alabama",5,Foreign born,"21,313","+/-5,160"
B06011,05000US01127,"Walker County, Alabama",0.5,Median income in the past 12 months --,,
B06011,05000US01127,"Walker County, Alabama",1,Total:,"23,874","+/-2,592"
B06011,05000US01127,"Walker County, Alabama",2,Born in state of residence,"23,765","+/-2,811"
B06011,05000US01127,"Walker County, Alabama",3,Born in other state of the United States,"22,936","+/-7,404"
B06011,05000US01127,"Walker County, Alabama",4,Native; born outside the United States,"60,486","+/-46,088"
B06011,05000US01127,"Walker County, Alabama",5,Foreign born,"47,500","+/-28,202"
B06011,05000US02020,"Anchorage Municipality, Alaska",0.5,Median income in the past 12 months --,,
B06011,05000US02020,"Anchorage Municipality, Alaska",1,Total:,"36,966","+/-1,347"
B06011,05000US02020,"Anchorage Municipality, Alaska",2,Born in state of residence,"26,360","+/-3,508"
B06011,05000US02020,"Anchorage Municipality, Alaska",3,Born in other state of the United States,"47,750","+/-3,077"
B06011,05000US02020,"Anchorage Municipality, Alaska",4,Native; born outside the United States,"32,081","+/-8,067"
B06011,05000US02020,"Anchorage Municipality, Alaska",5,Foreign born,"31,662","+/-5,231"
B06011,05000US02090,"Fairbanks North Star Borough, Alaska",0.5,Median income in the past 12 months --,,
B06011,05000US02090,"Fairbanks North Star Borough, Alaska",1,Total:,"35,294","+/-3,306"
B06011,05000US02090,"Fairbanks North Star Borough, Alaska",2,Born in state of residence,"18,167","+/-7,320"
B06011,05000US02090,"Fairbanks North Star Borough, Alaska",3,Born in other state of the United States,"37,429","+/-2,880"
B06011,05000US02090,"Fairbanks North Star Borough, Alaska",4,Native; born outside the United States,"34,862","+/-23,557"
B06011,05000US02090,"Fairbanks North Star Borough, Alaska",5,Foreign born,"42,384","+/-8,715"
B06011,05000US02170,"Matanuska-Susitna Borough, Alaska",0.5,Median income in the past 12 months --,,
B06011,05000US02170,"Matanuska-Susitna Borough, Alaska",1,Total:,"29,297","+/-2,702"
B06011,05000US02170,"Matanuska-Susitna Borough, Alaska",2,Born in state of residence,"16,594","+/-3,831"
B06011,05000US02170,"Matanuska-Susitna Borough, Alaska",3,Born in other state of the United States,"32,554","+/-3,225"
B06011,05000US02170,"Matanuska-Susitna Borough, Alaska",4,Native; born outside the United States,"41,686","+/-16,178"
B06011,05000US02170,"Matanuska-Susitna Borough, Alaska",5,Foreign born,"28,714","+/-4,637"
B06011,05000US04001,"Apache County, Arizona",0.5,Median income in the past 12 months --,,
B06011,05000US04001,"Apache County, Arizona",1,Total:,"20,695","+/-1,970"
B06011,05000US04001,"Apache County, Arizona",2,Born in state of residence,"19,365","+/-2,290"
B06011,05000US04001,"Apache County, Arizona",3,Born in other state of the United States,"24,075","+/-4,502"
B06011,05000US04001,"Apache County, Arizona",4,Native; born outside the United States,-,**
B06011,05000US04001,"Apache County, Arizona",5,Foreign born,"27,336","+/-21,347"
B06011,05000US04003,"Cochise County, Arizona",0.5,Median income in the past 12 months --,,
B06011,05000US04003,"Cochise County, Arizona",1,Total:,"24,579","+/-1,855"
B06011,05000US04003,"Cochise County, Arizona",2,Born in state of residence,"25,099","+/-4,162"
B06011,05000US04003,"Cochise County, Arizona",3,Born in other state of the United States,"24,660","+/-2,228"
B06011,05000US04003,"Cochise County, Arizona",4,Native; born outside the United States,"28,295","+/-9,750"
B06011,05000US04003,"Cochise County, Arizona",5,Foreign born,"21,606","+/-5,099"
B06011,05000US04005,"Coconino County, Arizona",0.5,Median income in the past 12 months --,,
B06011,05000US04005,"Coconino County, Arizona",1,Total:,"25,442","+/-1,663"
B06011,05000US04005,"Coconino County, Arizona",2,Born in state of residence,"20,958","+/-2,154"
B06011,05000US04005,"Coconino County, Arizona",3,Born in other state of the United States,"30,545","+/-2,870"
B06011,05000US04005,"Coconino County, Arizona",4,Native; born outside the United States,"12,344","+/-15,150"
B06011,05000US04005,"Coconino County, Arizona",5,Foreign born,"20,870","+/-4,104"
B06011,05000US04013,"Maricopa County, Arizona",0.5,Median income in the past 12 months --,,
B06011,05000US04013,"Maricopa County, Arizona",1,Total:,"32,123",+/-264
B06011,05000US04013,"Maricopa County, Arizona",2,Born in state of residence,"28,188","+/-1,013"
B06011,05000US04013,"Maricopa County, Arizona",3,Born in other state of the United States,"36,807",+/-474
B06011,05000US04013,"Maricopa County, Arizona",4,Native; born outside the United States,"35,355","+/-3,349"
B06011,05000US04013,"Maricopa County, Arizona",5,Foreign born,"27,456","+/-1,011"
B06011,05000US04015,"Mohave County, Arizona",0.5,Median income in the past 12 months --,,
B06011,05000US04015,"Mohave County, Arizona",1,Total:,"23,492","+/-1,348"
B06011,05000US04015,"Mohave County, Arizona",2,Born in state of residence,"25,144","+/-4,180"
B06011,05000US04015,"Mohave County, Arizona",3,Born in other state of the United States,"23,443","+/-1,441"
B06011,05000US04015,"Mohave County, Arizona",4,Native; born outside the United States,"30,068","+/-27,893"
B06011,05000US04015,"Mohave County, Arizona",5,Foreign born,"21,631","+/-6,031"
B06011,05000US04017,"Navajo County, Arizona",0.5,Median income in the past 12 months --,,
B06011,05000US04017,"Navajo County, Arizona",1,Total:,"20,573","+/-1,195"
B06011,05000US04017,"Navajo County, Arizona",2,Born in state of residence,"17,846","+/-1,992"
