Level,Date,State Postal Code,State,County Name,Population Staying at Home Percentage,Population Not Staying at Home Percentage,Number of Trips,Number of cases,Est. Med HH Income 2018,POPESTIMATE2019,Lat,Lng,Daily New Cases
County,2/1/2020,IL,Illinois,Edgar County,21.72%,78.28%,63099.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,2/2/2020,IL,Illinois,Edgar County,22.97%,77.03%,58833.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,2/3/2020,IL,Illinois,Edgar County,21.07%,78.93%,77640.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,2/4/2020,IL,Illinois,Edgar County,20.47%,79.53%,73672.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,2/5/2020,IL,Illinois,Edgar County,20.31%,79.69%,69017.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,2/6/2020,IL,Illinois,Edgar County,20.59%,79.41%,70167.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,2/7/2020,IL,Illinois,Edgar County,17.93%,82.07%,76962.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,2/8/2020,IL,Illinois,Edgar County,21.01%,78.99%,64823.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,2/9/2020,IL,Illinois,Edgar County,25.8%,74.2%,54458.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,2/10/2020,IL,Illinois,Edgar County,20.19%,79.81%,73655.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,2/11/2020,IL,Illinois,Edgar County,18.15%,81.85%,71852.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,2/12/2020,IL,Illinois,Edgar County,18.68%,81.32%,76007.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,2/13/2020,IL,Illinois,Edgar County,17.59%,82.41%,74696.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,2/14/2020,IL,Illinois,Edgar County,18.44%,81.56%,82254.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,2/15/2020,IL,Illinois,Edgar County,20.46%,79.54%,72192.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,2/16/2020,IL,Illinois,Edgar County,22.48%,77.52%,68224.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,2/17/2020,IL,Illinois,Edgar County,25.95%,74.05%,57132.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,2/18/2020,IL,Illinois,Edgar County,20.52%,79.48%,72391.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,2/19/2020,IL,Illinois,Edgar County,18.39%,81.61%,72312.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,2/20/2020,IL,Illinois,Edgar County,19.64%,80.36%,73628.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,2/21/2020,IL,Illinois,Edgar County,20.76%,79.24%,83875.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,2/22/2020,IL,Illinois,Edgar County,17.57%,82.43%,71659.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,2/23/2020,IL,Illinois,Edgar County,22.05%,77.95%,65107.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,2/24/2020,IL,Illinois,Edgar County,21.71%,78.29%,69178.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,2/25/2020,IL,Illinois,Edgar County,18.21%,81.79%,73318.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,2/26/2020,IL,Illinois,Edgar County,19.45%,80.55%,85494.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,2/27/2020,IL,Illinois,Edgar County,19.72%,80.28%,80069.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,2/28/2020,IL,Illinois,Edgar County,19.62%,80.38%,76686.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,2/29/2020,IL,Illinois,Edgar County,19.86%,80.14%,83785.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,3/1/2020,IL,Illinois,Edgar County,22.04%,77.96%,70227.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,3/2/2020,IL,Illinois,Edgar County,20.75%,79.25%,75242.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,3/3/2020,IL,Illinois,Edgar County,17.75%,82.25%,83026.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,3/4/2020,IL,Illinois,Edgar County,17.34%,82.66%,73626.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,3/5/2020,IL,Illinois,Edgar County,16.79%,83.21%,77676.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,3/6/2020,IL,Illinois,Edgar County,17.54%,82.46%,76027.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,3/7/2020,IL,Illinois,Edgar County,18.21%,81.79%,79727.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,3/8/2020,IL,Illinois,Edgar County,19.72%,80.28%,75372.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,3/9/2020,IL,Illinois,Edgar County,18.95%,81.05%,77334.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,3/10/2020,IL,Illinois,Edgar County,18.93%,81.07%,75515.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,3/11/2020,IL,Illinois,Edgar County,15.85%,84.15%,84417.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,3/12/2020,IL,Illinois,Edgar County,17.03%,82.97%,93558.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,3/13/2020,IL,Illinois,Edgar County,16.05%,83.95%,92421.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,3/14/2020,IL,Illinois,Edgar County,20.97%,79.03%,78782.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,3/15/2020,IL,Illinois,Edgar County,22.75%,77.25%,70885.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,3/16/2020,IL,Illinois,Edgar County,21.36%,78.64%,72556.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,3/17/2020,IL,Illinois,Edgar County,22.82%,77.18%,69460.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,3/18/2020,IL,Illinois,Edgar County,23.65%,76.35%,66774.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,3/19/2020,IL,Illinois,Edgar County,23.08%,76.92%,61758.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,3/20/2020,IL,Illinois,Edgar County,24.24%,75.76%,70178.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,3/21/2020,IL,Illinois,Edgar County,27.89%,72.11%,69482.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,3/22/2020,IL,Illinois,Edgar County,28.2%,71.8%,52310.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,3/23/2020,IL,Illinois,Edgar County,24.65%,75.35%,61333.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,3/24/2020,IL,Illinois,Edgar County,25.14%,74.86%,64300.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,3/25/2020,IL,Illinois,Edgar County,24.92%,75.08%,58288.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,3/26/2020,IL,Illinois,Edgar County,23.4%,76.6%,64765.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,3/27/2020,IL,Illinois,Edgar County,24.68%,75.32%,58106.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,3/28/2020,IL,Illinois,Edgar County,25.29%,74.71%,59036.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,3/29/2020,IL,Illinois,Edgar County,28.51%,71.49%,51702.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,3/30/2020,IL,Illinois,Edgar County,23.43%,76.57%,59358.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,3/31/2020,IL,Illinois,Edgar County,26.94%,73.06%,55167.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,4/1/2020,IL,Illinois,Edgar County,25.3%,74.7%,56880.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,4/2/2020,IL,Illinois,Edgar County,24.89%,75.11%,63678.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,4/3/2020,IL,Illinois,Edgar County,23.93%,76.07%,66398.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,4/4/2020,IL,Illinois,Edgar County,25.86%,74.14%,60518.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,4/5/2020,IL,Illinois,Edgar County,28.46%,71.54%,58510.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,4/6/2020,IL,Illinois,Edgar County,23.96%,76.04%,69337.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,4/7/2020,IL,Illinois,Edgar County,24.5%,75.5%,61525.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
County,4/8/2020,IL,Illinois,Edgar County,22.98%,77.02%,69154.0,0,51109.0,17161,39.71312229999999,-87.77633329999998,0
