Date,State Postal Code,Number of Trips,POPESTIMATE2019,Number of cases,Daily New Cases
2/1/2020,AK,2495859.0,731545,0,0
2/1/2020,AL,15448035.0,4903185,0,0
2/1/2020,AR,9800865.0,3017804,0,0
2/1/2020,AZ,24657576.0,7278717,1,0
2/1/2020,CA,142175520.0,39512223,4,0
2/1/2020,CO,24061900.0,5758736,0,0
2/1/2020,CT,13146019.0,3565287,0,0
2/1/2020,DC,6209786.0,1411498,0,0
2/1/2020,DE,3453020.0,973764,0,0
2/1/2020,FL,70837581.0,21477737,0,0
2/1/2020,GA,36545066.0,10617423,0,0
2/1/2020,HI,4790093.0,1415872,0,0
2/1/2020,IA,11363051.0,3155070,0,0
2/1/2020,ID,5656838.0,1787065,0,0
2/1/2020,IL,49705957.0,12671821,2,0
2/1/2020,IN,25033189.0,6732219,0,0
2/1/2020,KS,10963347.0,2913314,0,0
2/1/2020,KY,17094434.0,4467673,0,0
2/1/2020,LA,17737335.0,4648794,0,0
2/1/2020,MA,30181644.0,6892503,1,0
2/1/2020,MD,22399353.0,6045680,0,0
2/1/2020,ME,4479654.0,1344212,0,0
2/1/2020,MI,35500176.0,9986857,0,0
2/1/2020,MN,19573081.0,5639632,0,0
2/1/2020,MO,21893794.0,6137428,0,0
2/1/2020,MS,9607716.0,2976149,0,0
2/1/2020,MT,3309253.0,1068778,0,0
2/1/2020,NC,37107983.0,10488084,0,0
2/1/2020,ND,2421712.0,762062,0,0
2/1/2020,NE,6863783.0,1934408,0,0
2/1/2020,NH,5251924.0,1359711,0,0
2/1/2020,NJ,35169572.0,8882190,0,0
2/1/2020,NM,7879482.0,1878634,0,0
2/1/2020,NV,10832615.0,3080156,0,0
2/1/2020,NY,81127660.0,19453561,0,0
2/1/2020,OH,42952263.0,11689100,0,0
2/1/2020,OK,13664332.0,3956971,0,0
2/1/2020,OR,15163613.0,4217737,0,0
2/1/2020,PA,45987658.0,12801989,0,0
2/1/2020,RI,4034704.0,1059361,0,0
2/1/2020,SC,17887964.0,5148714,0,0
2/1/2020,SD,3001432.0,884659,0,0
2/1/2020,TN,23893012.0,6829174,0,0
2/1/2020,TX,98370332.0,28995881,0,0
2/1/2020,UT,12839611.0,3205958,0,0
2/1/2020,VA,32468945.0,8535519,0,0
2/1/2020,VT,2360268.0,623989,0,0
2/1/2020,WA,26395007.0,7614893,1,0
2/1/2020,WI,20471303.0,5822434,0,0
2/1/2020,WV,6170438.0,1792147,0,0
2/1/2020,WY,2097020.0,578759,0,0
2/10/2020,AK,2722187.0,731545,0,0
2/10/2020,AL,16317890.0,4903185,0,0
2/10/2020,AR,10244119.0,3017804,0,0
2/10/2020,AZ,24897228.0,7278717,1,0
2/10/2020,CA,141809831.0,39512223,6,0
2/10/2020,CO,24449247.0,5758736,0,0
2/10/2020,CT,12186103.0,3565287,0,0
2/10/2020,DC,5868276.0,1411498,0,0
2/10/2020,DE,3184859.0,973764,0,0
2/10/2020,FL,71742690.0,21477737,0,0
2/10/2020,GA,33457858.0,10617423,0,0
2/10/2020,HI,5081037.0,1415872,0,0
2/10/2020,IA,12063730.0,3155070,0,0
2/10/2020,ID,6039263.0,1787065,0,0
2/10/2020,IL,51832693.0,12671821,2,0
2/10/2020,IN,24479268.0,6732219,0,0
2/10/2020,KS,11455799.0,2913314,0,0
2/10/2020,KY,16313037.0,4467673,0,0
2/10/2020,LA,18609037.0,4648794,0,0
2/10/2020,MA,28244901.0,6892503,1,0
2/10/2020,MD,21269431.0,6045680,0,0
2/10/2020,ME,4356559.0,1344212,0,0
2/10/2020,MI,35368910.0,9986857,0,0
2/10/2020,MN,21023776.0,5639632,0,0
2/10/2020,MO,22333231.0,6137428,0,0
2/10/2020,MS,9819843.0,2976149,0,0
2/10/2020,MT,3660704.0,1068778,0,0
2/10/2020,NC,35543114.0,10488084,0,0
2/10/2020,ND,2618901.0,762062,0,0
2/10/2020,NE,7306575.0,1934408,0,0
2/10/2020,NH,4529284.0,1359711,0,0
2/10/2020,NJ,32361430.0,8882190,0,0
2/10/2020,NM,8028492.0,1878634,0,0
2/10/2020,NV,10975789.0,3080156,0,0
2/10/2020,NY,79503787.0,19453561,0,0
2/10/2020,OH,41107094.0,11689100,0,0
2/10/2020,OK,14499958.0,3956971,0,0
2/10/2020,OR,16520090.0,4217737,0,0
2/10/2020,PA,44310113.0,12801989,0,0
2/10/2020,RI,3598544.0,1059361,0,0
2/10/2020,SC,16997575.0,5148714,0,0
2/10/2020,SD,3273582.0,884659,0,0
2/10/2020,TN,23338557.0,6829174,0,0
2/10/2020,TX,100370316.0,28995881,0,0
2/10/2020,UT,12856474.0,3205958,0,0
2/10/2020,VA,30501479.0,8535519,0,0
2/10/2020,VT,2230387.0,623989,0,0
2/10/2020,WA,28529587.0,7614893,1,0
2/10/2020,WI,22029387.0,5822434,0,0
2/10/2020,WV,5765906.0,1792147,0,0
2/10/2020,WY,2314122.0,578759,0,0
2/11/2020,AK,2757779.0,731545,0,0
2/11/2020,AL,16813417.0,4903185,0,0
2/11/2020,AR,10221559.0,3017804,0,0
2/11/2020,AZ,25094474.0,7278717,1,0
2/11/2020,CA,144962945.0,39512223,7,1
2/11/2020,CO,25247974.0,5758736,0,0
2/11/2020,CT,12371242.0,3565287,0,0
2/11/2020,DC,5980800.0,1411498,0,0
2/11/2020,DE,3086828.0,973764,0,0
2/11/2020,FL,72386711.0,21477737,0,0
2/11/2020,GA,34180609.0,10617423,0,0
2/11/2020,HI,5231154.0,1415872,0,0
2/11/2020,IA,12104521.0,3155070,0,0
2/11/2020,ID,6073455.0,1787065,0,0
2/11/2020,IL,52622589.0,12671821,2,0
2/11/2020,IN,25212139.0,6732219,0,0
2/11/2020,KS,11569848.0,2913314,0,0
2/11/2020,KY,16755471.0,4467673,0,0
2/11/2020,LA,19090789.0,4648794,0,0
2/11/2020,MA,28626540.0,6892503,1,0
2/11/2020,MD,21841882.0,6045680,0,0
2/11/2020,ME,4385626.0,1344212,0,0
2/11/2020,MI,35917017.0,9986857,0,0
2/11/2020,MN,21202431.0,5639632,0,0
2/11/2020,MO,22837007.0,6137428,0,0
2/11/2020,MS,9961994.0,2976149,0,0
2/11/2020,MT,3593488.0,1068778,0,0
2/11/2020,NC,35675352.0,10488084,0,0
2/11/2020,ND,2655973.0,762062,0,0
2/11/2020,NE,7441107.0,1934408,0,0
2/11/2020,NH,4812991.0,1359711,0,0
2/11/2020,NJ,32890203.0,8882190,0,0
2/11/2020,NM,7515961.0,1878634,0,0
2/11/2020,NV,11014256.0,3080156,0,0
2/11/2020,NY,80412060.0,19453561,0,0
2/11/2020,OH,42189793.0,11689100,0,0
2/11/2020,OK,14594275.0,3956971,0,0
2/11/2020,OR,16460307.0,4217737,0,0
2/11/2020,PA,45018727.0,12801989,0,0
2/11/2020,RI,3680370.0,1059361,0,0
2/11/2020,SC,17168751.0,5148714,0,0
2/11/2020,SD,3283504.0,884659,0,0
2/11/2020,TN,24142318.0,6829174,0,0
2/11/2020,TX,99435581.0,28995881,0,0
2/11/2020,UT,13201645.0,3205958,0,0
2/11/2020,VA,30401527.0,8535519,0,0
2/11/2020,VT,2129254.0,623989,0,0
2/11/2020,WA,28405233.0,7614893,1,0
2/11/2020,WI,22165050.0,5822434,0,0
2/11/2020,WV,5847611.0,1792147,0,0
2/11/2020,WY,2375862.0,578759,0,0
2/12/2020,AK,2721579.0,731545,0,0
2/12/2020,AL,17156969.0,4903185,0,0
2/12/2020,AR,9866214.0,3017804,0,0
2/12/2020,AZ,26565306.0,7278717,1,0
2/12/2020,CA,149727235.0,39512223,7,0
2/12/2020,CO,25229975.0,5758736,0,0
2/12/2020,CT,12983214.0,3565287,0,0
2/12/2020,DC,6230234.0,1411498,0,0
2/12/2020,DE,3127306.0,973764,0,0
2/12/2020,FL,74071623.0,21477737,0,0
2/12/2020,GA,35807754.0,10617423,0,0
2/12/2020,HI,5348646.0,1415872,0,0
2/12/2020,IA,11795967.0,3155070,0,0
2/12/2020,ID,6228409.0,1787065,0,0
2/12/2020,IL,52216690.0,12671821,2,0
2/12/2020,IN,25023184.0,6732219,0,0
2/12/2020,KS,11081971.0,2913314,0,0
2/12/2020,KY,16757705.0,4467673,0,0
2/12/2020,LA,19156048.0,4648794,0,0
2/12/2020,MA,30085818.0,6892503,1,0
2/12/2020,MD,22419134.0,6045680,0,0
2/12/2020,ME,4563579.0,1344212,0,0
2/12/2020,MI,36864122.0,9986857,0,0
2/12/2020,MN,20588024.0,5639632,0,0
2/12/2020,MO,22054221.0,6137428,0,0
2/12/2020,MS,9942593.0,2976149,0,0
2/12/2020,MT,3618349.0,1068778,0,0
2/12/2020,NC,37100927.0,10488084,0,0
2/12/2020,ND,2384805.0,762062,0,0
2/12/2020,NE,7189789.0,1934408,0,0
2/12/2020,NH,4764649.0,1359711,0,0
2/12/2020,NJ,34405025.0,8882190,0,0
2/12/2020,NM,8181745.0,1878634,0,0
2/12/2020,NV,11426043.0,3080156,0,0
2/12/2020,NY,83368703.0,19453561,0,0
2/12/2020,OH,42935401.0,11689100,0,0
2/12/2020,OK,14497890.0,3956971,0,0
2/12/2020,OR,16995820.0,4217737,0,0
2/12/2020,PA,46299359.0,12801989,0,0
2/12/2020,RI,3837466.0,1059361,0,0
2/12/2020,SC,17629785.0,5148714,0,0
2/12/2020,SD,2967619.0,884659,0,0
2/12/2020,TN,24086344.0,6829174,0,0
2/12/2020,TX,102668700.0,28995881,0,0
2/12/2020,UT,13630870.0,3205958,0,0
2/12/2020,VA,31805792.0,8535519,0,0
2/12/2020,VT,2151451.0,623989,0,0
2/12/2020,WA,29297966.0,7614893,1,0
2/12/2020,WI,22066193.0,5822434,0,0
2/12/2020,WV,6025153.0,1792147,0,0
2/12/2020,WY,2316548.0,578759,0,0
2/13/2020,AK,2732266.0,731545,0,0
2/13/2020,AL,17506489.0,4903185,0,0
2/13/2020,AR,10409416.0,3017804,0,0
2/13/2020,AZ,26704683.0,7278717,1,0
2/13/2020,CA,149489351.0,39512223,8,1
2/13/2020,CO,25408292.0,5758736,0,0
2/13/2020,CT,12553226.0,3565287,0,0
2/13/2020,DC,6138892.0,1411498,0,0
2/13/2020,DE,3087281.0,973764,0,0
2/13/2020,FL,73726506.0,21477737,0,0
2/13/2020,GA,34786026.0,10617423,0,0
2/13/2020,HI,5366297.0,1415872,0,0
2/13/2020,IA,11442130.0,3155070,0,0
2/13/2020,ID,6154192.0,1787065,0,0
2/13/2020,IL,51732352.0,12671821,2,0
2/13/2020,IN,24350628.0,6732219,0,0
2/13/2020,KS,10957698.0,2913314,0,0
2/13/2020,KY,17075117.0,4467673,0,0
2/13/2020,LA,19494670.0,4648794,0,0
2/13/2020,MA,29340274.0,6892503,1,0
2/13/2020,MD,21710144.0,6045680,0,0
2/13/2020,ME,4312408.0,1344212,0,0
2/13/2020,MI,35321369.0,9986857,0,0
